course-id	unknown-id	course-name-short	course-credit-type	course-number	course-sub-number	section-number	unknown	course-type	course-name-long	teacher-name	credit-hours	days-taught	hours-taught-1	hours-taught-2	location-taught	section-notes	seats-available	wait-list
02859	006	A HTG	1	100		001		SALT LAKE	American Heritage	Fish, Rick	3	MW	2:45pm	5:10pm	306 SLC 	A HTG 100:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	17 / 40	0	
02859	006	A HTG	1	100		002		SALT LAKE	American Heritage	Latimer, Brett	3	TTh	5:15pm	7:40pm	411 SLC 	A HTG 100:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	51 / 58	0	
02859	006	A HTG	1	100		003		SALT LAKE	American Heritage	Fish, Rick	3	MW	10:15am	12:40pm	306 SLC 	A HTG 100:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	18 / 40	0	
08961	000	ACC	1	200		001		DAY	Principles of Accounting	Budd, Cassy	3	TTh	12:30pm	3:15pm	151 TNRB 	ACC 200:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	30 / 175	0	
08961	000	ACC	1	200		002		SALT LAKE	Principles of Accounting	Ashby, Jason	3	TTh	5:15pm	7:40pm	312 SLC 	ACC 200:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	18 / 40	0	
08966	001	ACC	1	241		001		DAY	Business Law	Wood, Ryan	3	MTWTh	12:30pm	1:50pm	W208 TNRB 	ACC 241:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.This class is restricted to majors within this college.	8 / 50	0	
08966	001	ACC	1	241		002		SALT LAKE	Business Law	Droubay, Christopher	3	TTh	5:15pm	7:40pm	408 SLC 	ACC 241:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.This class is restricted to majors within this college.	22 / 30	0	
00015	042	ACC	1	310		001		DAY	Principles of Acctg 2	Hobson, Scott	3	MTWTh	09:30am	10:45am	W308 TNRB 	ACC 310:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	10 / 55	0	
00034	007	ACC	1	522		001		DAY	Advanced Taxation	Barrick, John	3	MWF	12:30pm	3:10pm	W110 TNRB 	This class is for majors only.	0 / 30	0	
09755	001	ACC	1	545		001		DAY	International Accounting	Burton, Greg	3	MTWThF	08:00am	10:45am	W240 TNRB 	This class is for majors only.	35 / 40	0	
09755	001	ACC	1	545		002	N	ST ABROAD	International Accounting		3	TBA	TBA	TBA	TBA 	International Accounting Study Abroad--section 002This class is for majors only.	83 / 99	0	
06148	003	ACC	1	563		001		DAY	Taxation of Partnerships	Worsham, Ron	3	TThF	08:00am	10:45am	270 TNRB 	This class is for majors only.	7 / 30	0	
06150	002	ACC	1	565	R	001		DAY	Current Tax Policy	Barrick, John	3	MWF	08:00am	10:45am	W110 TNRB 	ACC 565R section 001:  State and Local TaxationThis class is for majors only.	11 / 30	0	
00062	006	ACC	S	591	R	001		DAY	Readings & Conference	Wilks, Jeff	3V	TBA	TBA	TBA	TBA 	This class is for majors only.	10 / 10	0	
00062	006	ACC	1	591	R	002	N	ST ABROAD	Readings & Conference		3V	TBA	TBA	TBA	TBA 	International Accounting Study Abroad--section 002This class is for majors only.	99 / 99	0	
00062	006	ACC	1	591	R	003		DAY	Readings & Conference	Christensen, Ted	3V	TTh	1:30pm	4:30pm	374 TNRB 	This class is for majors only.	22 / 25	0	
