course-id	unknown-id	course-name-short	course-credit-type	course-number	course-sub-number	section-number	unknown	course-type	course-name-long	teacher-name	credit-hours	days-taught	hours-taught-1	hours-taught-2	location-taught	section-notes	seats-available	wait-list	
02859	006	A HTG	S	100		001		DAY	American Heritage	Patterson, Kelly	3	MWTh	11:00am09:00am	11:50am09:50am	140 JSB 1018 JKB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.A HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	0 / 30	0	
02859	006	A HTG	S	100		002		DAY	American Heritage	Patterson, Kelly	3	MWTh	11:00am09:00am	11:50am09:50am	140 JSB 255 SFH 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.A HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	3 / 30	0	
02859	006	A HTG	S	100		003		DAY	American Heritage	Patterson, Kelly	3	MWF	11:00am09:00am	11:50am09:50am	140 JSB 110 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.A HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	1 / 30	0	
02859	006	A HTG	S	100		004		DAY	American Heritage	Karpowitz, Chris	3	MWF	1:00pm1:00pm	1:50pm1:50pm	140 JSB 106 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.A HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	2 / 30	0	
02859	006	A HTG	S	100		005		DAY	American Heritage	Karpowitz, Chris	3	MWF	1:00pm2:00pm	1:50pm2:50pm	140 JSB 182 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.A HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	8 / 30	0	
02859	006	A HTG	S	100		006		DAY	American Heritage	Karpowitz, Chris	3	MWF	12:00pm09:00am	12:50pm09:50am	140 JSB 179 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.A HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	3 / 30	0	
02859	006	A HTG	S	100		007		DAY	American Heritage	Karpowitz, Chris	3	MWF	12:00pm09:00am	12:50pm09:50am	140 JSB 175 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.A HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	0 / 30	0	
02859	006	A HTG	S	100		008		DAY	American Heritage	Karpowitz, Chris	3	MWTh	12:00pm1:00pm	12:50pm1:50pm	140 JSB 122 MARB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.A HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	6 / 30	0	
02859	006	A HTG	S	100		009		DAY	American Heritage	Karpowitz, Chris	3	MWF	12:00pm08:00am	12:50pm08:50am	140 JSB 106 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.A HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	3 / 30	0	
02859	006	A HTG	S	100		010		DAY	American Heritage	Patterson, Kelly	3	MWF	11:00am11:00am	11:50am11:50am	140 JSB 106 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.A HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	1 / 30	0	
