course-id	unknown-id	course-name-short	course-credit-type	course-number	course-sub-number	section-number	unknown	course-type	course-name-long	teacher-name	credit-hours	days-taught	hours-taught-1	hours-taught-2	location-taught	section-notes	seats-available	wait-list
02859	006	A HTG	1	100		001		SALT LAKE	American Heritage	Fish, Rick	3	MW	2:45pm	5:10pm	306 SLC 	A HTG 100:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	21 / 40	0
02859	006	A HTG	1	100		002		SALT LAKE	American Heritage	Latimer, Brett	3	TTh	5:15pm	7:40pm	411 SLC 	A HTG 100:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	41 / 58	0
02859	006	A HTG	1	100		003		SALT LAKE	American Heritage	Fish, Rick	3	MW	10:15am	12:40pm	306 SLC 	A HTG 100:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	29 / 40	0
08961	000	ACC	1	200		001		DAY	Principles of Accounting	Larson, Melissa	3	TTh	12:30pm	3:15pm	251 TNRB 	ACC 200:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	32 / 170	0
08961	000	ACC	1	200		004		SALT LAKE	Principles of Accounting	Heninger, Bill	3	TTh	5:15pm	7:40pm	312 SLC 	ACC 200:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	27 / 40	0
08966	001	ACC	1	241		001		DAY	Business Law	Gotberg, Brook	3	MTWTh	12:30pm	1:50pm	260 TNRB 	ACC 241:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.This class is restricted to majors within this college.	4 / 70	0
00015	042	ACC	1	310		001		DAY	Principles of Acctg 2	Thomas, Sheri	3	TTh	08:00am	10:45am	260 TNRB 	ACC 310:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	6 / 65	0
00034	007	ACC	1	522		001		DAY	Advanced Taxation	Barrick, John	3	MWF	12:30pm	3:10pm	W110 TNRB 	This class is for majors only.	0 / 36	0
09755	001	ACC	1	545		001		DAY	International Accounting	Black, Ervin	3	MTWTh	08:00am	10:45am	W240 TNRB 	This class is for majors only.	35 / 40	0
09755	001	ACC	1	545		002	N	ST ABROAD	International Accounting		3	TBA	TBA	TBA	TBA 	This class is for majors only.	79 / 99	0
06148	003	ACC	1	563		001		DAY	Taxation of Partnerships	Worsham, Ron	3	TThF	08:00am	10:45am	270 TNRB 	This class is for majors only.	6 / 30	0
06150	002	ACC	1	565	R	001		DAY	Current Tax Policy	Barrick, John	3	MWF	08:00am	10:45am	W110 TNRB 	ACC 565R section 001:  State and Local TaxationThis class is for majors only.	11 / 35	0
00062	006	ACC	S	591	R	001		DAY	Readings & Conference	Wilks, Jeff	3V	TBA	TBA	TBA	TBA 	This class is for majors only.	10 / 10	0
00062	006	ACC	1	591	R	002		ST ABROAD	Readings & Conference		3	TBA	TBA	TBA	TBA 	This class is for majors only.	98 / 99	0
02997	002	ACC	1	599	R	001		DAY	Academic Internship	Stewart, Dave	3V	TBA	TBA	TBA	TBA 	ACC 599: An APPROVED Internship Application is required before adding.This class requires internship coordinator approval.	28 / 30	0
02997	002	ACC	S	599	R	003		DAY	Academic Internship	Stewart, Dave	3V	TBA	TBA	TBA	TBA 	ACC 599: An APPROVED Internship Application is required before adding.This class requires internship coordinator approval.	14 / 20	0
11744	000	AM ST	1	399	R	001		DAY	Academic Internship	Matthews, Kristin	6V	TBA	TBA	TBA	TBA 	AM ST 399R: An APPROVED Internship Application is required before adding.This class requires internship coordinator approval.	4 / 5	0
11744	000	AM ST	S	399	R	003		DAY	Academic Internship	Matthews, Kristin	6V	TBA	TBA	TBA	TBA 	AM ST 399R: An APPROVED Internship Application is required before adding.This class requires internship coordinator approval.	5 / 5	0
00300	007	ANTHR	1	101		001		DAY	Social/Cultural Anthropology	Thompson, Greg	3	MWF	10:00am	11:50am	262 SWKT 	ANTHR 101:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	11 / 40	0
00345	003	ANTHR	1	110		001		DAY	Intro to Archaeology	Bartlett, Jaime	3	MWF	1:00pm	2:50pm	262 SWKT 	ANTHR 110:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	22 / 40	0
00310	004	ANTHR	1	309		001		DAY	Language, Culture, & Society	Buonforte, Richard	3	MWF	3:00pm	4:50pm	2002 JKB 	ANTHR 309:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	26 / 30	0
07443	002	ANTHR	1	390	R	002		ST ABROAD	Spec Topics in Regional Anthro	Nuckolls, Charles	3	TBA	TBA	TBA	TBA 		98 / 99	0
07443	002	ANTHR	1	390	R	003		ST ABROAD	Spec Topics in Regional Anthro		3	TBA	TBA	TBA	TBA 	This class requires departmental approval.	98 / 99	0
00376	014	ANTHR	1	455		001		DAY	Field School of Archaeology	Johnson, David Finlayson, Cynthia[+]	6	TBA	TBA	TBA	TBA 	ANTHR 455R section 001: Field School of Archaeology will be in Petra, Jordan. ANTHR 455R section 001 is designed to provide a service learning educational opportunity for students.FEE REQUIRED	20 / 20	0
00376	014	ANTHR	1	455		002		DAY	Field School of Archaeology	Forsyth, Donald	6	TBA	TBA	TBA	TBA 		0 / 1	0
00376	014	ANTHR	1	455		003	N	ST ABROAD	Field School of Archaeology	Finlayson, Cynthia	6	TBA	TBA	TBA	TBA 		90 / 99	0
00355	003	ANTHR	1	490	R	001		ST ABROAD	Spc Topics in Theory & System	Nuckolls, Charles	3	TBA	TBA	TBA	TBA 		97 / 99	0
00355	003	ANTHR	1	490	R	002		ST ABROAD	Spc Topics in Theory & System		3	TBA	TBA	TBA	TBA 	This class requires departmental approval.	99 / 99	0
00321	003	ANTHR	1	495	R	002		ST ABROAD	Ethnographic Field Project	Nuckolls, Charles	6V	TBA	TBA	TBA	TBA 		98 / 99	0
00321	003	ANTHR	1	495	R	003		DAY	Ethnographic Field Project	Nuckolls, Charles	6V	TBA	TBA	TBA	TBA 		1 / 3	0
06947	003	ANTHR	1	497		001		DAY	Directed Readings	Hickman, Jacob	3	TBA	TBA	TBA	TBA 		0 / 1	0
06879	004	ANTHR	1	599	R	001		DAY	Academic Internship	Stavast, Paul	6V	TBA	TBA	TBA	TBA 	ANTHR 599R: An APPROVED  Internship Application is required before adding.This class requires internship coordinator approval.	0 / 1	0
07461	000	ANTHR	1	694	R	001		DAY	Readings	Johnson, David	3V	TBA	TBA	TBA	TBA 		10 / 10	0
00401	004	ANTHR	1	695	R	001		DAY	Research	Johnson, David	6V	TBA	TBA	TBA	TBA 		10 / 10	0
00401	004	ANTHR	1	695	R	003		DAY	Research	Searcy, Mike	6V	TBA	TBA	TBA	TBA 		1 / 1	0
00404	003	ANTHR	1	699	R	001		DAY	Masters Thesis	Johnson, David	9V	TBA	TBA	TBA	TBA 		10 / 10	0
08269	001	ARAB	1	100	R	002		JERUSALEM	Intro to Arabic	Jbara, Ayman	.5V	TBA	TBA	TBA	TBA 		62 / 90	0
07682	003	ARAB	1	101		001		DAY	1st-Year Arabic	Wilson, Jordan	4	MTWThF	12:00pm	1:50pm	2112 JKB 		9 / 15	0
07683	002	ARAB	1	102		001		DAY	1st-Year Arabic	Whiting, Andrew	4	MTWThF	09:00am	10:50am	2114 JKB 		23 / 30	0
07684	003	ARAB	1	201		001		DAY	2nd-Year Arabic	Salah, Shereen	4	MTWThFMTWThF	09:00am1:00pm	09:50am1:50pm	3012 JKB 3012 JKB 		13 / 20	0
11413	000	ARAB	1	221	R	001		DAY	Standard Arabic Tutorial	Bentley, Randell	2	MTWTh	3:00pm	3:50pm	2112 JKB 		16 / 20	0
11983	000	ARAB	1	411	R	001		DAY	Advanced Arabic Conversation		3V	MWF	11:00am	11:50am	1108 JKB 		20 / 20	0
