course-id	unknown-id	course-name-short	course-credit-type	course-number	course-sub-number	section-number	unknown	course-type	course-name-long	teacher-name	credit-hours	days-taught	hours-taught-1	hours-taught-2	location-taught	section-notes	seats-available	wait-list
02859	006	A HTG	1	100		001		SALT LAKE	American Heritage	Fish, Rick	3	MW	2:45pm	5:10pm	413 SLC 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	26 / 45	0
02859	006	A HTG	1	100		003		SALT LAKE	American Heritage	Sargent, Kathryn	3	MW	10:15am	12:45pm	101 SLC 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	12 / 70	0
08961	000	ACC	1	200		001		DAY	Principles of Accounting	Kimball, McKell	3	MWThF	11:00am	12:15pm	151 TNRB 	ACC 200: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	102 / 225	0
08961	000	ACC	1	200		002		SALT LAKE	Principles of Accounting	Orton, Lyndon	3	TTh	5:15pm	7:40pm	312 SLC 	ACC 200: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	24 / 40	0
08966	001	ACC	1	241		001		DAY	Business Law	Pyne, Nicole	3	MW	08:00am	10:45am	W208 TNRB 	ACC 241: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.This class is restricted to majors within this college.	18 / 60	0
08966	001	ACC	1	241		002		SALT LAKE	Business Law	Droubay, Christopher	3	TTh	5:15pm	7:40pm	425 SLC 	ACC 241: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.This class is restricted to majors within this college.	25 / 30	0
00015	042	ACC	1	310		001		DAY	Principles of Acctg 2	Stocks, Kevin	3	MTWTh	09:30am	10:45am	W308 TNRB 	ACC 310: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	21 / 55	0
00015	042	ACC	1	310		002		DAY	Principles of Acctg 2	Stocks, Kevin	3	MTWTh	12:30pm	1:45pm	W308 TNRB 	ACC 310: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	24 / 55	0
09755	001	ACC	1	545		002		ST ABROAD	International Accounting		3	TBA	TBA	TBA	TBA 	 Section 002 : International Accounting Study AbroadThis class is for majors only.	75 / 99	0
06148	003	ACC	1	563		001		DAY	Taxation of Partnerships	Worsham, Ron	3	TThF	08:00am	10:45am	W210 TNRB 	This class is for majors only.	4 / 35	0
