course-id	unknown-id	course-name-short	course-credit-type	course-number	course-sub-number	section-number	unknown	course-type	course-name-long	teacher-name	credit-hours	days-taught	hours-taught-1	hours-taught-2	location-taught	section-notes	seats-available	wait-list
02859	006	A HTG	2	100		004		SALT LAKE	American Heritage	Latimer, Brett	3	MW	4:15pm	6:40pm	411 SLC 	A HTG 100:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	40 / 60	0	
02859	006	A HTG	2	100		005		SALT LAKE	American Heritage	Fish, Rick	3	TTh	12:15pm	2:40pm	411 SLC 	A HTG 100:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	19 / 60	0	
08966	001	ACC	2	241		002		DAY	Business Law	Shardlow, Ed	3	MTWTh	12:30pm	1:50pm	W122 TNRB 	ACC 241:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.This class is restricted to majors within this college.	23 / 46	0	
00062	006	ACC	2	591	R	001		DAY	Readings & Conference	Wilks, Jeff	3V	TBA	TBA	TBA	TBA 	This class is for majors only.	9 / 10	0	
02997	002	ACC	2	599	R	003		DAY	Academic Internship	Stewart, Dave	3V	TBA	TBA	TBA	TBA 	ACC 599R: An APPROVEDInternship Applicationis required before adding.This class requires internship coordinator approval.	7 / 20	0	
11744	000	AM ST	2	399	R	003		DAY	Academic Internship	Matthews, Kristin	6V	TBA	TBA	TBA	TBA 	AM ST 399R: An APPROVEDInternship Applicationis required before adding.This class requires internship coordinator approval.	4 / 5	0	
11744	000	AM ST	2	399	R	004	N	ST ABROAD	Academic Internship		6V	TBA	TBA	TBA	TBA 	AM ST 399R: An APPROVEDInternship Applicationis required before adding.	98 / 99	0	
00300	007	ANTHR	2	101		002		DAY	Social/Cultural Anthropology	Andrus, Ed	3	MWF	10:00am	11:50am	2105 JKB 	ANTHR 101:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.INCLUDES FRESHMAN MENTORING	3 / 65	0	
00300	007	ANTHR	2	101		003		DAY	Social/Cultural Anthropology	Buonforte, Richard	3	MWF	3:00pm	4:50pm	2002 JKB 	ANTHR 101:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.INCLUDES FRESHMAN MENTORING	12 / 40	0	
11137	000	ANTHR	2	103		001		DAY	Archaeology Field Trip	Clark, John	1	TBA	TBA	TBA	TBA 		2 / 4	0	
00345	003	ANTHR	2	110		002		DAY	Intro to Archaeology	Bartlett, Jaime	3	MWF	1:00pm	2:50pm	262 SWKT 	ANTHR 110:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	17 / 40	0	
07822	005	ANTHR	2	201		001		DAY	Foundations of Social Theory	Clark, John	3	TBA	TBA	TBA	TBA 		0 / 0	0	
07822	005	ANTHR	2	201		002	N	ST ABROAD	Foundations of Social Theory		3	TBA	TBA	TBA	TBA 		99 / 99	0	
07443	002	ANTHR	2	390	R	001	N	ST ABROAD	Spec Topics in Regional Anthro		3V	TBA	TBA	TBA	TBA 		98 / 99	0	
00355	003	ANTHR	2	490	R	001	N	ST ABROAD	Spc Topics in Theory & System		3	TBA	TBA	TBA	TBA 		98 / 99	0	
00321	003	ANTHR	2	495	R	002		DAY	Ethnographic Field Project	Thompson, Greg	6V	TBA	TBA	TBA	TBA 		19 / 20	0	
00321	003	ANTHR	2	495	R	003	N	ST ABROAD	Ethnographic Field Project		6V	TBA	TBA	TBA	TBA 		95 / 99	0	
00321	003	ANTHR	2	495	R	004	N	ST ABROAD	Ethnographic Field Project		6V	TBA	TBA	TBA	TBA 		99 / 99	0	
00338	003	ANTHR	2	496	R	001		DAY	Academic Internship	Thompson, Greg	3V	TBA	TBA	TBA	TBA 	ANTHR 496R: An APPROVEDInternship Applicationis required before adding.	1 / 1	0	
00338	003	ANTHR	2	496	R	002	N	ST ABROAD	Academic Internship		3V	TBA	TBA	TBA	TBA 	ANTHR 496R: An APPROVEDInternship Applicationis required before adding.	99 / 99	0	
00402	007	ANTHR	2	596		001		DAY	Museum Projects	Stavast, Paul	3	TBA	TBA	TBA	TBA 		4 / 6	0	
06879	004	ANTHR	2	599	R	002		DAY	Academic Internship	Stavast, Paul	6V	TBA	TBA	TBA	TBA 	ANTHR 599R: An APPROVEDInternship Applicationis required before adding.This class requires internship coordinator approval.	1 / 5	0	
00401	004	ANTHR	2	695	R	003		DAY	Research	Johnson, David	6V	TBA	TBA	TBA	TBA 		10 / 10	0	
00404	003	ANTHR	2	699	R	002		DAY	Masters Thesis	Johnson, David	9V	TBA	TBA	TBA	TBA 		8 / 10	0	
08269	001	ARAB	2	100	R	001		JERUSALEM	Intro to Arabic	Jbara, Ayman Whitchurch, David[+]	.5V	TBA	TBA	TBA	TBA 		47 / 80	0	
07683	002	ARAB	2	102		002		DAY	1st-Year Arabic	Wiest, Logan	4	MTWThF	09:00am	10:50am	3012 JKB 		15 / 25	0	
07685	005	ARAB	2	202		001		DAY	Intermediate Arabic	Deaffallah Hammad, Sayed	4	MTWThFMTWThF	09:00am1:00pm	09:50am1:50pm	2009 JKB 2009 JKB 		10 / 20	0	
07685	005	ARAB	2	202		002	N	ST ABROAD	Intermediate Arabic		4	TBA	TBA	TBA	TBA 		98 / 99	0	
11415	000	ARAB	2	223	R	001		DAY	Arabic Grammar Review	Hafen, Nick	2	MTWTh	3:00pm	3:50pm	1108 JKB 		18 / 20	0	
08480	000	ARAB	2	490	R	002		DAY	Independent Readings	Belnap, Kirk	3V	TBA	TBA	TBA	TBA 		2 / 3	0	
08480	000	ARAB	2	490	R	003	N	ST ABROAD	Independent Readings		3V	TBA	TBA	TBA	TBA 		98 / 99	0	
11984	000	ARAB	2	495	R	002		DAY	Directed Studies in Arabic	Deaffallah Hammad, Sayed	3V	W	10:00am	10:50am	1119 JKB 		15 / 15	0	
06809	009	ARTHC	2	111		002		EVENING	Introduction to Art History	Schmollinger, Carlyle	3	TTh	4:00pm	6:30pm	3112 JKB 	ARTHC 111:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	13 / 25	0	
08880	002	ARTHC	2	201		004		DAY	World Civilization to 1500	Clark, Travis	3	TTh	08:30am	10:50am	1004 JKB 		6 / 25	0	
