course-id	unknown-id	course-name-short	course-credit-type	course-number	course-sub-number	section-number	unknown	course-type	course-name-long	teacher-name	credit-hours	days-taught	hours-taught-1	hours-taught-2	location-taught	section-notes	seats-available	wait-list
02859	006	A HTG	2	100		001		SALT LAKE	American Heritage	Latimer, Brett	3	MW	4:15pm	6:40pm	411 SLC 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	48 / 60	0	
02859	006	A HTG	2	100		002		SALT LAKE	American Heritage	Fish, Rick	3	TTh	12:10pm	2:40pm	411 SLC 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	13 / 60	0	
08966	001	ACC	2	241		001		DAY	Business Law	Shardlow, Ed	3	MTWTh	12:30pm	1:50pm	W208 TNRB 	ACC 241: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.This class is restricted to majors within this college.	24 / 60	0	
00062	006	ACC	2	591	R	001		DAY	Readings & Conference	Wilks, Jeff	3V	TBA	TBA	TBA	TBA 	This class is for majors only.	7 / 10	0	
02997	002	ACC	2	599	R	001		DAY	Academic Internship	Stewart, Dave	3V	TBA	TBA	TBA	TBA 	ACC 599R: An APPROVEDInternship Applicationis required before adding.This class requires internship coordinator approval.	9 / 20	0	
11744	000	AM ST	2	399	R	001		DAY	Academic Internship	Matthews, Kristin	6V	TBA	TBA	TBA	TBA 	AM ST 399R: An APPROVEDInternship Applicationis required before adding.This class requires internship coordinator approval.	5 / 5	0	
11181	000	ANES	2	353	R	001	N	ST ABROAD	Archaeological Fieldwork in NE		3V	TBA	TBA	TBA	TBA 		99 / 99	0	
11475	000	ANES	2	392	R	001	N	ST ABROAD	Topics in ANES		3V	TBA	TBA	TBA	TBA 		99 / 99	0	
11475	000	ANES	2	392	R	002		DAY	Topics in ANES	Huntsman, Eric	3V	TBA	TBA	TBA	TBA 		0 / 0	0	
00300	007	ANTHR	2	101		001		DAY	Social/Cultural Anthropology	Andrus, Ed	3	MWF	10:00am	11:50am	B062 JFSB 	ANTHR 101: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduINCLUDES FRESHMAN MENTORING	17 / 65	0	
00300	007	ANTHR	2	101		002		DAY	Social/Cultural Anthropology	Buonforte, Richard	3	MWF	3:00pm	4:50pm	374 TNRB 	ANTHR 101: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduINCLUDES FRESHMAN MENTORING	6 / 30	0	
00345	003	ANTHR	2	110		001		DAY	Intro to Archaeology	Bartlett, Jaime	3	MWF	1:00pm	2:50pm	262 SWKT 	ANTHR 110: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu	19 / 40	0	
00318	002	ANTHR	2	340		001		DAY	Peoples of the Middle East	Johnson, David	3	MWF	11:00am	12:50pm	245 SWKT 		3 / 15	0	
00321	003	ANTHR	2	495	R	001		DAY	Ethnographic Field Project	Crandall, David	6V	TBA	TBA	TBA	TBA 	IRB approval and instructor's consent required before departure to field.  No class meetings.	0 / 0	0	
00338	003	ANTHR	2	496	R	002	N	ST ABROAD	Academic Internship		3V	TBA	TBA	TBA	TBA 	ANTHR 496R: An APPROVEDInternship Applicationis required before adding.	97 / 99	0	
00338	003	ANTHR	2	496	R	003		DAY	Academic Internship	Crandall, David	3V	TBA	TBA	TBA	TBA 	ANTHR 496R: An APPROVEDInternship Applicationis required before adding.	1 / 1	0	
00402	007	ANTHR	2	596		001		DAY	Museum Projects	Stavast, Paul	3	TBA	TBA	TBA	TBA 		5 / 6	0	
06879	004	ANTHR	2	599	R	001		DAY	Academic Internship	Stavast, Paul	6V	TBA	TBA	TBA	TBA 	ANTHR 599R: An APPROVEDInternship Applicationis required before adding.This class requires internship coordinator approval.	2 / 5	0	
00401	004	ANTHR	2	695	R	001		DAY	Research	Allison, Jim	6V	TBA	TBA	TBA	TBA 		10 / 10	0	
