course-id	unknown-id	course-name-short	course-credit-type	course-number	course-sub-number	section-number	unknown	course-type	course-name-long	teacher-name	credit-hours	days-taught	hours-taught-1	hours-taught-2	location-taught	section-notes	seats-available	wait-list
02859	006	A HTG	2	100		004		SALT LAKE	American Heritage	Latimer, Brett	3	MW	4:15pm	6:40pm	411 SLC 	A HTG 100:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	34 / 40	0	
02859	006	A HTG	2	100		006		SALT LAKE	American Heritage	Fish, Rick	3	TTh	12:15pm	2:40pm	406 SLC 	A HTG 100:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	14 / 40	0	
08961	000	ACC	2	200		002		DAY	Principles of Accounting	Larson, Melissa	3	MTWTh	12:30pm	1:50pm	251 TNRB 	ACC 200:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	9 / 75	0	
08961	000	ACC	2	200		003		DAY	Principles of Accounting	Larson, Melissa	3	MTWTh	12:30pm	1:50pm	251 TNRB 	ACC 200:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	23 / 50	0	
08966	001	ACC	2	241		002		DAY	Business Law	Cummings, Morgan	3	MTWTh	12:30pm	1:50pm	260 TNRB 	ACC 241:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.This class is restricted to majors within this college.	4 / 55	0	
02997	002	ACC	2	599	R	002		DAY	Academic Internship	Stewart, Dave	3V	TBA	TBA	TBA	TBA 	ACC 599: An APPROVED Internship Application is required before adding.This class requires internship coordinator approval.	10 / 20	0	
11744	000	AM ST	2	399	R	002		DAY	Academic Internship	Matthews, Kristin	6V	TBA	TBA	TBA	TBA 	AM ST 399R: An APPROVED Internship Application is required before adding.AM ST 399R section 002: This class will be taught as a full semester class over both spring and summer terms.  Please do not schedule courses that conflict with this same time, if you take additional summer term classes. More information.This class requires internship coordinator approval.	5 / 5	0	
12299	000	ANES	2	390	R	001		DAY	Directed Readings	Huntsman, Eric	3	TBA	TBA	TBA	TBA 		4 / 5	0	
00300	007	ANTHR	2	101		002		DAY	Social/Cultural Anthropology	Andrus, Ed	3	MWF	10:00am	11:50am	B037 JFSB 	ANTHR 101:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.INCLUDES FRESHMAN MENTORING	10 / 80	0	
00300	007	ANTHR	2	101		003		DAY	Social/Cultural Anthropology	Buonforte, Richard	3	MWF	3:00pm	4:50pm	2002 JKB 	ANTHR 101:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.INCLUDES FRESHMAN MENTORING	9 / 40	0	
00345	003	ANTHR	2	110		002		DAY	Intro to Archaeology	Bartlett, Jaime	3	MWF	1:00pm	2:50pm	262 SWKT 	ANTHR 110:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	22 / 40	0	
07443	002	ANTHR	2	390	R	001		ST ABROAD	Spec Topics in Regional Anthro		3	TBA	TBA	TBA	TBA 		93 / 99	0	
07443	002	ANTHR	2	390	R	004	N	ST ABROAD	Spec Topics in Regional Anthro		3V	TBA	TBA	TBA	TBA 		96 / 99	0	
07443	002	ANTHR	2	390	R	005		ST ABROAD	Spec Topics in Regional Anthro		3	TBA	TBA	TBA	TBA 		98 / 99	0	
00355	003	ANTHR	2	490	R	003	N	ST ABROAD	Spc Topics in Theory & System		3	TBA	TBA	TBA	TBA 		95 / 99	0	
00355	003	ANTHR	2	490	R	004	N	ST ABROAD	Spc Topics in Theory & System		3	TBA	TBA	TBA	TBA 		99 / 99	0	
00321	003	ANTHR	2	495	R	001	N	ST ABROAD	Ethnographic Field Project		6V	TBA	TBA	TBA	TBA 		93 / 99	0	
00321	003	ANTHR	2	495	R	004		DAY	Ethnographic Field Project	Nuckolls, Charles	6V	TBA	TBA	TBA	TBA 		0 / 1	0	
00321	003	ANTHR	2	495	R	005	N	ST ABROAD	Ethnographic Field Project		6V	TBA	TBA	TBA	TBA 		97 / 99	0	
00402	007	ANTHR	2	596		001		DAY	Museum Projects	Stavast, Paul	3	TBA	TBA	TBA	TBA 		3 / 6	0	
06879	004	ANTHR	2	599	R	002		DAY	Academic Internship	Stavast, Paul	6V	TBA	TBA	TBA	TBA 	ANTHR 599R: An APPROVED  Internship Application is required before adding.This class requires internship coordinator approval.	4 / 5	0	
00401	004	ANTHR	2	695	R	002		DAY	Research	Johnson, David	6V	TBA	TBA	TBA	TBA 		10 / 10	0	
00404	003	ANTHR	2	699	R	002		DAY	Masters Thesis	Johnson, David	9V	TBA	TBA	TBA	TBA 		6 / 10	0	
08269	001	ARAB	2	100	R	003		JERUSALEM	Intro to Arabic	Jbara, Ayman	.5V	TBA	TBA	TBA	TBA 		62 / 90	0	
07683	002	ARAB	2	102		002		DAY	1st-Year Arabic	Bradford, Douglas	4	MTWThF	12:00pm	1:50pm	2112 JKB 		21 / 25	0	
07685	005	ARAB	2	202		001		DAY	Intermediate Arabic	Parkinson, Dilworth	4	MTWThFMTWThF	09:00am1:00pm	09:50am1:50pm	3012 JKB 3012 JKB 		13 / 20	0	
11415	000	ARAB	2	223	R	001		DAY	Arabic Grammar Review	Whiting, Andrew	2	MTWTh	3:00pm	3:50pm	3012 JKB 		17 / 20	0	
08480	000	ARAB	2	490	R	002		DAY	Independent Readings	Belnap, Kirk	3V	TBA	TBA	TBA	TBA 		0 / 3	0	
11984	000	ARAB	2	495	R	002		DAY	Directed Studies in Arabic	Belnap, Kirk	3V	W	10:00am	10:50am	B114 JFSB 		15 / 15	0	
06809	009	ARTHC	2	111		002		EVENING	Introduction to Art History	Erdmann, Keri	3	TTh	4:00pm	6:30pm	3112 JKB 	ARTHC 111:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	13 / 30	0	
08880	002	ARTHC	2	201		002		DAY	World Civilization to 1500	Amott, David	3	TTh	08:30am	10:50am	3112 JKB 		3 / 30	0	
08881	002	ARTHC	2	202		003		SALT LAKE	World Civilization Since 1500	Gough, James	3	TTh	5:15pm	7:40pm	315 SLC 		17 / 30	0	
00489	020	ARTHC	2	320		001		DAY	Italian Renaissance	Amott, David	3	TTh	1:00pm	3:30pm	3112 JKB 		12 / 30	0	
