course-id	unknown-id	course-name-short	course-credit-type	course-number	course-sub-number	section-number	unknown	course-type	course-name-long	teacher-name	credit-hours	days-taught	hours-taught-1	hours-taught-2	location-taught	section-notes	seats-available	wait-list
02859	006	A HTG	S	100		002		DAY	American Heritage	Bradford, Scott	3	MWTh	1:00pm08:00am	1:50pm08:50am	140 JSB 107 JSB 	A HTG 100: A HTG labs are listed on the first line and the lecture directly below it. Registering for the lab will automatically register you for the lecture.A HTG 100:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.A HTG 100:  Starting Summer 2010, all new freshmen register for this course through the Freshman Mentoring Program.  Registration through MyMAP is reserved for all other students.FRESHMAN MENTORING	4 / 30	0	
02859	006	A HTG	S	100		003		DAY	American Heritage	Bradford, Scott	3	MWTh	11:00am09:00am	11:50am09:50am	140 JSB 341 MCKB 	A HTG 100: A HTG labs are listed on the first line and the lecture directly below it. Registering for the lab will automatically register you for the lecture.A HTG 100:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.A HTG 100:  Starting Summer 2010, all new freshmen register for this course through the Freshman Mentoring Program.  Registration through MyMAP is reserved for all other students.FRESHMAN MENTORING	7 / 30	0	
02859	006	A HTG	S	100		004		DAY	American Heritage	Bradford, Scott	3	MWTh	11:00am09:00am	11:50am09:50am	140 JSB 110 JSB 	A HTG 100: A HTG labs are listed on the first line and the lecture directly below it. Registering for the lab will automatically register you for the lecture.A HTG 100:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.A HTG 100:  Starting Summer 2010, all new freshmen register for this course through the Freshman Mentoring Program.  Registration through MyMAP is reserved for all other students.	6 / 30	0	
02859	006	A HTG	S	100		005		DAY	American Heritage	Bradford, Scott	3	MWTh	11:00am10:00am	11:50am10:50am	140 JSB B135 JFSB 	A HTG 100: A HTG labs are listed on the first line and the lecture directly below it. Registering for the lab will automatically register you for the lecture.A HTG 100:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.A HTG 100:  Starting Summer 2010, all new freshmen register for this course through the Freshman Mentoring Program.  Registration through MyMAP is reserved for all other students.FRESHMAN MENTORING	3 / 16	0	
02859	006	A HTG	S	100		006		DAY	American Heritage	Bradford, Scott	3	MWTh	11:00am10:00am	11:50am10:50am	140 JSB B135 JFSB 	A HTG 100: A HTG labs are listed on the first line and the lecture directly below it. Registering for the lab will automatically register you for the lecture.A HTG 100:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.A HTG 100:  Starting Summer 2010, all new freshmen register for this course through the Freshman Mentoring Program.  Registration through MyMAP is reserved for all other students.FRESHMAN MENTORING	3 / 15	0	
02859	006	A HTG	S	100		007		DAY	American Heritage	Bradford, Scott	3	MWTh	11:00am10:00am	11:50am10:50am	140 JSB 2011 JKB 	A HTG 100: A HTG labs are listed on the first line and the lecture directly below it. Registering for the lab will automatically register you for the lecture.A HTG 100:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.A HTG 100:  Starting Summer 2010, all new freshmen register for this course through the Freshman Mentoring Program.  Registration through MyMAP is reserved for all other students.	5 / 30	0	
02859	006	A HTG	S	100		008		DAY	American Heritage	Bradford, Scott	3	MWTh	12:00pm12:00pm	12:50pm12:50pm	140 JSB 160 MCKB 	A HTG 100: A HTG labs are listed on the first line and the lecture directly below it. Registering for the lab will automatically register you for the lecture.A HTG 100:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.A HTG 100:  Starting Summer 2010, all new freshmen register for this course through the Freshman Mentoring Program.  Registration through MyMAP is reserved for all other students.FRESHMAN MENTORING	4 / 10	0	
02859	006	A HTG	S	100		009		DAY	American Heritage	Bradford, Scott	3	MWTh	12:00pm12:00pm	12:50pm12:50pm	140 JSB 160 MCKB 	A HTG 100: A HTG labs are listed on the first line and the lecture directly below it. Registering for the lab will automatically register you for the lecture.A HTG 100:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.A HTG 100:  Starting Summer 2010, all new freshmen register for this course through the Freshman Mentoring Program.  Registration through MyMAP is reserved for all other students.FRESHMAN MENTORING	6 / 10	0	
02859	006	A HTG	S	100		010		DAY	American Heritage	Bradford, Scott	3	MWTh	12:00pm12:00pm	12:50pm12:50pm	140 JSB 160 MCKB 	A HTG 100: A HTG labs are listed on the first line and the lecture directly below it. Registering for the lab will automatically register you for the lecture.A HTG 100:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.A HTG 100:  Starting Summer 2010, all new freshmen register for this course through the Freshman Mentoring Program.  Registration through MyMAP is reserved for all other students.FRESHMAN MENTORING	1 / 10	0	
02859	006	A HTG	S	100		011		DAY	American Heritage	Bradford, Scott	3	MWTh	12:00pm12:00pm	12:50pm12:50pm	140 JSB 134 TMCB 	A HTG 100: A HTG labs are listed on the first line and the lecture directly below it. Registering for the lab will automatically register you for the lecture.A HTG 100:  Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.A HTG 100:  Starting Summer 2010, all new freshmen register for this course through the Freshman Mentoring Program.  Registration through MyMAP is reserved for all other students.	5 / 30	0	
